category,unicode,name,browser
Lu,U+0179,LATIN CAPITAL LETTER Z WITH ACUTE,Ź
Lu,U+017B,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Ż
Lu,U+017D,LATIN CAPITAL LETTER Z WITH CARON,Ž
Lu,U+0181,LATIN CAPITAL LETTER B WITH HOOK,Ɓ
Lu,U+0182,LATIN CAPITAL LETTER B WITH TOPBAR,Ƃ
Lu,U+0184,LATIN CAPITAL LETTER TONE SIX,Ƅ
Lu,U+0186,LATIN CAPITAL LETTER OPEN O,Ɔ
Lu,U+0187,LATIN CAPITAL LETTER C WITH HOOK,Ƈ
Lu,U+0189,LATIN CAPITAL LETTER AFRICAN D,Ɖ
Lu,U+018A,LATIN CAPITAL LETTER D WITH HOOK,Ɗ
Lu,U+018B,LATIN CAPITAL LETTER D WITH TOPBAR,Ƌ
Lu,U+018E,LATIN CAPITAL LETTER REVERSED E,Ǝ
Lu,U+018F,LATIN CAPITAL LETTER SCHWA,Ə
Lu,U+0190,LATIN CAPITAL LETTER OPEN E,Ɛ
Lu,U+0191,LATIN CAPITAL LETTER F WITH HOOK,Ƒ
Lu,U+0193,LATIN CAPITAL LETTER G WITH HOOK,Ɠ
Lu,U+0194,LATIN CAPITAL LETTER GAMMA,Ɣ
Lu,U+0196,LATIN CAPITAL LETTER IOTA,Ɩ
Lu,U+0197,LATIN CAPITAL LETTER I WITH STROKE,Ɨ
Lu,U+0198,LATIN CAPITAL LETTER K WITH HOOK,Ƙ
Lu,U+019C,LATIN CAPITAL LETTER TURNED M,Ɯ
Lu,U+019D,LATIN CAPITAL LETTER N WITH LEFT HOOK,Ɲ
Lu,U+019F,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,Ɵ
Lu,U+01A0,LATIN CAPITAL LETTER O WITH HORN,Ơ
Lu,U+01A2,LATIN CAPITAL LETTER OI,Ƣ
Lu,U+01A4,LATIN CAPITAL LETTER P WITH HOOK,Ƥ
Lu,U+01A6,LATIN LETTER YR,Ʀ
