category,unicode,name,browser
Nd,U+1047,MYANMAR DIGIT SEVEN,၇
Nd,U+1048,MYANMAR DIGIT EIGHT,၈
Nd,U+1049,MYANMAR DIGIT NINE,၉
Nd,U+1090,MYANMAR SHAN DIGIT ZERO,႐
Nd,U+1091,MYANMAR SHAN DIGIT ONE,႑
Nd,U+1092,MYANMAR SHAN DIGIT TWO,႒
Nd,U+1093,MYANMAR SHAN DIGIT THREE,႓
Nd,U+1094,MYANMAR SHAN DIGIT FOUR,႔
Nd,U+1095,MYANMAR SHAN DIGIT FIVE,႕
Nd,U+1096,MYANMAR SHAN DIGIT SIX,႖
Nd,U+1097,MYANMAR SHAN DIGIT SEVEN,႗
Nd,U+1098,MYANMAR SHAN DIGIT EIGHT,႘
Nd,U+1099,MYANMAR SHAN DIGIT NINE,႙
Nd,U+17E0,KHMER DIGIT ZERO,០
Nd,U+17E1,KHMER DIGIT ONE,១
Nd,U+17E2,KHMER DIGIT TWO,២
Nd,U+17E3,KHMER DIGIT THREE,៣
Nd,U+17E4,KHMER DIGIT FOUR,៤
Nd,U+17E5,KHMER DIGIT FIVE,៥
Nd,U+17E6,KHMER DIGIT SIX,៦
Nd,U+17E7,KHMER DIGIT SEVEN,៧
Nd,U+17E8,KHMER DIGIT EIGHT,៨
Nd,U+17E9,KHMER DIGIT NINE,៩
Nd,U+1810,MONGOLIAN DIGIT ZERO,᠐
Nd,U+1811,MONGOLIAN DIGIT ONE,᠑
Nd,U+1812,MONGOLIAN DIGIT TWO,᠒
Nd,U+1813,MONGOLIAN DIGIT THREE,᠓
Nd,U+1814,MONGOLIAN DIGIT FOUR,᠔
Nd,U+1815,MONGOLIAN DIGIT FIVE,᠕
Nd,U+1816,MONGOLIAN DIGIT SIX,᠖
Nd,U+1817,MONGOLIAN DIGIT SEVEN,᠗
Nd,U+1818,MONGOLIAN DIGIT EIGHT,᠘
Nd,U+1819,MONGOLIAN DIGIT NINE,᠙
Nd,U+1946,LIMBU DIGIT ZERO,᥆
Nd,U+1947,LIMBU DIGIT ONE,᥇
Nd,U+1948,LIMBU DIGIT TWO,᥈
Nd,U+1949,LIMBU DIGIT THREE,᥉
Nd,U+194A,LIMBU DIGIT FOUR,᥊
Nd,U+194B,LIMBU DIGIT FIVE,᥋
Nd,U+194C,LIMBU DIGIT SIX,᥌
Nd,U+194D,LIMBU DIGIT SEVEN,᥍
Nd,U+194E,LIMBU DIGIT EIGHT,᥎
Nd,U+194F,LIMBU DIGIT NINE,᥏
Nd,U+19D0,NEW TAI LUE DIGIT ZERO,᧐
Nd,U+19D1,NEW TAI LUE DIGIT ONE,᧑
Nd,U+19D2,NEW TAI LUE DIGIT TWO,᧒
Nd,U+19D3,NEW TAI LUE DIGIT THREE,᧓
Nd,U+19D4,NEW TAI LUE DIGIT FOUR,᧔
Nd,U+19D5,NEW TAI LUE DIGIT FIVE,᧕
Nd,U+19D6,NEW TAI LUE DIGIT SIX,᧖
Nd,U+19D7,NEW TAI LUE DIGIT SEVEN,᧗
Nd,U+19D8,NEW TAI LUE DIGIT EIGHT,᧘
Nd,U+19D9,NEW TAI LUE DIGIT NINE,᧙
Nd,U+1A80,TAI THAM HORA DIGIT ZERO,᪀
Nd,U+1A81,TAI THAM HORA DIGIT ONE,᪁
Nd,U+1A82,TAI THAM HORA DIGIT TWO,᪂
Nd,U+1A83,TAI THAM HORA DIGIT THREE,᪃
Nd,U+1A84,TAI THAM HORA DIGIT FOUR,᪄
Nd,U+1A85,TAI THAM HORA DIGIT FIVE,᪅
Nd,U+1A86,TAI THAM HORA DIGIT SIX,᪆
Nd,U+1A87,TAI THAM HORA DIGIT SEVEN,᪇
Nd,U+1A88,TAI THAM HORA DIGIT EIGHT,᪈
Nd,U+1A89,TAI THAM HORA DIGIT NINE,᪉
Nd,U+1A90,TAI THAM THAM DIGIT ZERO,᪐
Nd,U+1A91,TAI THAM THAM DIGIT ONE,᪑
Nd,U+1A92,TAI THAM THAM DIGIT TWO,᪒
Nd,U+1A93,TAI THAM THAM DIGIT THREE,᪓
Nd,U+1A94,TAI THAM THAM DIGIT FOUR,᪔
Nd,U+1A95,TAI THAM THAM DIGIT FIVE,᪕
Nd,U+1A96,TAI THAM THAM DIGIT SIX,᪖
Nd,U+1A97,TAI THAM THAM DIGIT SEVEN,᪗
Nd,U+1A98,TAI THAM THAM DIGIT EIGHT,᪘
Nd,U+1A99,TAI THAM THAM DIGIT NINE,᪙
Nd,U+1B50,BALINESE DIGIT ZERO,᭐
Nd,U+1B51,BALINESE DIGIT ONE,᭑
Nd,U+1B52,BALINESE DIGIT TWO,᭒
Nd,U+1B53,BALINESE DIGIT THREE,᭓
Nd,U+1B54,BALINESE DIGIT FOUR,᭔
Nd,U+1B55,BALINESE DIGIT FIVE,᭕
Nd,U+1B56,BALINESE DIGIT SIX,᭖
Nd,U+1B57,BALINESE DIGIT SEVEN,᭗
Nd,U+1B58,BALINESE DIGIT EIGHT,᭘
Nd,U+1B59,BALINESE DIGIT NINE,᭙
Nd,U+1BB0,SUNDANESE DIGIT ZERO,᮰
Nd,U+1BB1,SUNDANESE DIGIT ONE,᮱
Nd,U+1BB2,SUNDANESE DIGIT TWO,᮲
Nd,U+1BB3,SUNDANESE DIGIT THREE,᮳
Nd,U+1BB4,SUNDANESE DIGIT FOUR,᮴
Nd,U+1BB5,SUNDANESE DIGIT FIVE,᮵
Nd,U+1BB6,SUNDANESE DIGIT SIX,᮶
Nd,U+1BB7,SUNDANESE DIGIT SEVEN,᮷
Nd,U+1BB8,SUNDANESE DIGIT EIGHT,᮸
Nd,U+1BB9,SUNDANESE DIGIT NINE,᮹
Nd,U+1C40,LEPCHA DIGIT ZERO,᱀
Nd,U+1C41,LEPCHA DIGIT ONE,᱁
Nd,U+1C42,LEPCHA DIGIT TWO,᱂
Nd,U+1C43,LEPCHA DIGIT THREE,᱃
Nd,U+1C44,LEPCHA DIGIT FOUR,᱄
Nd,U+1C45,LEPCHA DIGIT FIVE,᱅
Nd,U+1C46,LEPCHA DIGIT SIX,᱆
Nd,U+1C47,LEPCHA DIGIT SEVEN,᱇
Nd,U+1C48,LEPCHA DIGIT EIGHT,᱈
Nd,U+1C49,LEPCHA DIGIT NINE,᱉
Nd,U+1C50,OL CHIKI DIGIT ZERO,᱐
Nd,U+1C51,OL CHIKI DIGIT ONE,᱑
Nd,U+1C52,OL CHIKI DIGIT TWO,᱒
Nd,U+1C53,OL CHIKI DIGIT THREE,᱓
Nd,U+1C54,OL CHIKI DIGIT FOUR,᱔
Nd,U+1C55,OL CHIKI DIGIT FIVE,᱕
Nd,U+1C56,OL CHIKI DIGIT SIX,᱖
Nd,U+1C57,OL CHIKI DIGIT SEVEN,᱗
Nd,U+1C58,OL CHIKI DIGIT EIGHT,᱘
Nd,U+1C59,OL CHIKI DIGIT NINE,᱙
Nd,U+A620,VAI DIGIT ZERO,꘠
