numbers,U+1ED11,𞴑,no name
numbers,U+1ED12,𞴒,no name
numbers,U+1ED13,𞴓,no name
numbers,U+1ED14,𞴔,no name
numbers,U+1ED15,𞴕,no name
numbers,U+1ED16,𞴖,no name
numbers,U+1ED17,𞴗,no name
numbers,U+1ED18,𞴘,no name
numbers,U+1ED19,𞴙,no name
numbers,U+1ED1A,𞴚,no name
numbers,U+1ED1B,𞴛,no name
numbers,U+1ED1C,𞴜,no name
numbers,U+1ED1D,𞴝,no name
numbers,U+1ED1E,𞴞,no name
numbers,U+1ED1F,𞴟,no name
numbers,U+1ED20,𞴠,no name
numbers,U+1ED21,𞴡,no name
numbers,U+1ED22,𞴢,no name
numbers,U+1ED23,𞴣,no name
numbers,U+1ED24,𞴤,no name
numbers,U+1ED25,𞴥,no name
numbers,U+1ED26,𞴦,no name
numbers,U+1ED27,𞴧,no name
numbers,U+1ED28,𞴨,no name
numbers,U+1ED29,𞴩,no name
numbers,U+1ED2A,𞴪,no name
numbers,U+1ED2B,𞴫,no name
numbers,U+1ED2C,𞴬,no name
numbers,U+1ED2D,𞴭,no name
numbers,U+1ED2F,𞴯,no name
numbers,U+1ED30,𞴰,no name
numbers,U+1ED31,𞴱,no name
numbers,U+1ED32,𞴲,no name
numbers,U+1ED33,𞴳,no name
numbers,U+1ED34,𞴴,no name
numbers,U+1ED35,𞴵,no name
numbers,U+1ED36,𞴶,no name
numbers,U+1ED37,𞴷,no name
numbers,U+1ED38,𞴸,no name
numbers,U+1ED39,𞴹,no name
numbers,U+1ED3A,𞴺,no name
numbers,U+1ED3B,𞴻,no name
numbers,U+1ED3C,𞴼,no name
numbers,U+1ED3D,𞴽,no name
punctuations,U+203F,‿,UNDERTIE
punctuations,U+2040,⁀,CHARACTER TIE
punctuations,U+2054,⁔,INVERTED UNDERTIE
punctuations,U+FE33,︳,PRESENTATION FORM FOR VERTICAL LOW LINE
punctuations,U+FE34,︴,PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
punctuations,U+FE4D,﹍,DASHED LOW LINE
punctuations,U+FE4E,﹎,CENTRELINE LOW LINE
punctuations,U+FE4F,﹏,WAVY LOW LINE
punctuations,U+FF3F,＿,FULLWIDTH LOW LINE
punctuations,U+0029,),RIGHT PARENTHESIS
punctuations,U+005D,],RIGHT SQUARE BRACKET
punctuations,U+007D,},RIGHT CURLY BRACKET
punctuations,U+0F3B,༻,TIBETAN MARK GUG RTAGS GYAS
punctuations,U+0F3D,༽,TIBETAN MARK ANG KHANG GYAS
